LOAD_ZONE,TIMEPOINT,ev_bau_mw
Oahu,4507050200,120.706661540968
Oahu,4507050201,78.2550013090633
Oahu,4507050202,49.7271724727608
Oahu,4507050203,31.4070496683208
Oahu,4507050204,22.8010063635324
Oahu,4507050205,33.6296350978955
Oahu,4507050206,83.5063050479024
Oahu,4507050207,198.548745964798
Oahu,4507050208,312.160804445663
Oahu,4507050209,290.911656450058
Oahu,4507050210,219.067547262903
Oahu,4507050211,170.8459525943
Oahu,4507050212,173.532416281629
Oahu,4507050213,202.687663276345
Oahu,4507050214,215.16714366345
Oahu,4507050215,233.072686154823
Oahu,4507050216,273.969931333988
Oahu,4507050217,338.67500319304
Oahu,4507050218,383.033883381338
Oahu,4507050219,369.764802405885
Oahu,4507050220,342.594594236576
Oahu,4507050221,304.640015762362
Oahu,4507050222,245.419883604967
Oahu,4507050223,177.108033007168
Oahu,4507070900,120.706661540968
Oahu,4507070901,78.2550013090633
Oahu,4507070902,49.7271724727608
Oahu,4507070903,31.4070496683208
Oahu,4507070904,22.8010063635324
Oahu,4507070905,33.6296350978955
Oahu,4507070906,83.5063050479024
Oahu,4507070907,198.548745964798
Oahu,4507070908,312.160804445663
Oahu,4507070909,290.911656450058
Oahu,4507070910,219.067547262903
Oahu,4507070911,170.8459525943
Oahu,4507070912,173.532416281629
Oahu,4507070913,202.687663276345
Oahu,4507070914,215.16714366345
Oahu,4507070915,233.072686154823
Oahu,4507070916,273.969931333988
Oahu,4507070917,338.67500319304
Oahu,4507070918,383.033883381338
Oahu,4507070919,369.764802405885
Oahu,4507070920,342.594594236576
Oahu,4507070921,304.640015762362
Oahu,4507070922,245.419883604967
Oahu,4507070923,177.108033007168
Oahu,4507082500,120.706661540968
Oahu,4507082501,78.2550013090633
Oahu,4507082502,49.7271724727608
Oahu,4507082503,31.4070496683208
Oahu,4507082504,22.8010063635324
Oahu,4507082505,33.6296350978955
Oahu,4507082506,83.5063050479024
Oahu,4507082507,198.548745964798
Oahu,4507082508,312.160804445663
Oahu,4507082509,290.911656450058
Oahu,4507082510,219.067547262903
Oahu,4507082511,170.8459525943
Oahu,4507082512,173.532416281629
Oahu,4507082513,202.687663276345
Oahu,4507082514,215.16714366345
Oahu,4507082515,233.072686154823
Oahu,4507082516,273.969931333988
Oahu,4507082517,338.67500319304
Oahu,4507082518,383.033883381338
Oahu,4507082519,369.764802405885
Oahu,4507082520,342.594594236576
Oahu,4507082521,304.640015762362
Oahu,4507082522,245.419883604967
Oahu,4507082523,177.108033007168
Oahu,4507090800,120.706661540968
Oahu,4507090801,78.2550013090633
Oahu,4507090802,49.7271724727608
Oahu,4507090803,31.4070496683208
Oahu,4507090804,22.8010063635324
Oahu,4507090805,33.6296350978955
Oahu,4507090806,83.5063050479024
Oahu,4507090807,198.548745964798
Oahu,4507090808,312.160804445663
Oahu,4507090809,290.911656450058
Oahu,4507090810,219.067547262903
Oahu,4507090811,170.8459525943
Oahu,4507090812,173.532416281629
Oahu,4507090813,202.687663276345
Oahu,4507090814,215.16714366345
Oahu,4507090815,233.072686154823
Oahu,4507090816,273.969931333988
Oahu,4507090817,338.67500319304
Oahu,4507090818,383.033883381338
Oahu,4507090819,369.764802405885
Oahu,4507090820,342.594594236576
Oahu,4507090821,304.640015762362
Oahu,4507090822,245.419883604967
Oahu,4507090823,177.108033007168
Oahu,4507121500,120.706661540968
Oahu,4507121501,78.2550013090633
Oahu,4507121502,49.7271724727608
Oahu,4507121503,31.4070496683208
Oahu,4507121504,22.8010063635324
Oahu,4507121505,33.6296350978955
Oahu,4507121506,83.5063050479024
Oahu,4507121507,198.548745964798
Oahu,4507121508,312.160804445663
Oahu,4507121509,290.911656450058
Oahu,4507121510,219.067547262903
Oahu,4507121511,170.8459525943
Oahu,4507121512,173.532416281629
Oahu,4507121513,202.687663276345
Oahu,4507121514,215.16714366345
Oahu,4507121515,233.072686154823
Oahu,4507121516,273.969931333988
Oahu,4507121517,338.67500319304
Oahu,4507121518,383.033883381338
Oahu,4507121519,369.764802405885
Oahu,4507121520,342.594594236576
Oahu,4507121521,304.640015762362
Oahu,4507121522,245.419883604967
Oahu,4507121523,177.108033007168
Oahu,4507121700,120.706661540968
Oahu,4507121701,78.2550013090633
Oahu,4507121702,49.7271724727608
Oahu,4507121703,31.4070496683208
Oahu,4507121704,22.8010063635324
Oahu,4507121705,33.6296350978955
Oahu,4507121706,83.5063050479024
Oahu,4507121707,198.548745964798
Oahu,4507121708,312.160804445663
Oahu,4507121709,290.911656450058
Oahu,4507121710,219.067547262903
Oahu,4507121711,170.8459525943
Oahu,4507121712,173.532416281629
Oahu,4507121713,202.687663276345
Oahu,4507121714,215.16714366345
Oahu,4507121715,233.072686154823
Oahu,4507121716,273.969931333988
Oahu,4507121717,338.67500319304
Oahu,4507121718,383.033883381338
Oahu,4507121719,369.764802405885
Oahu,4507121720,342.594594236576
Oahu,4507121721,304.640015762362
Oahu,4507121722,245.419883604967
Oahu,4507121723,177.108033007168
Oahu,4508010500,120.706661540968
Oahu,4508010501,78.2550013090633
Oahu,4508010502,49.7271724727608
Oahu,4508010503,31.4070496683208
Oahu,4508010504,22.8010063635324
Oahu,4508010505,33.6296350978955
Oahu,4508010506,83.5063050479024
Oahu,4508010507,198.548745964798
Oahu,4508010508,312.160804445663
Oahu,4508010509,290.911656450058
Oahu,4508010510,219.067547262903
Oahu,4508010511,170.8459525943
Oahu,4508010512,173.532416281629
Oahu,4508010513,202.687663276345
Oahu,4508010514,215.16714366345
Oahu,4508010515,233.072686154823
Oahu,4508010516,273.969931333988
Oahu,4508010517,338.67500319304
Oahu,4508010518,383.033883381338
Oahu,4508010519,369.764802405885
Oahu,4508010520,342.594594236576
Oahu,4508010521,304.640015762362
Oahu,4508010522,245.419883604967
Oahu,4508010523,177.108033007168
Oahu,4508031300,120.706661540968
Oahu,4508031301,78.2550013090633
Oahu,4508031302,49.7271724727608
Oahu,4508031303,31.4070496683208
Oahu,4508031304,22.8010063635324
Oahu,4508031305,33.6296350978955
Oahu,4508031306,83.5063050479024
Oahu,4508031307,198.548745964798
Oahu,4508031308,312.160804445663
Oahu,4508031309,290.911656450058
Oahu,4508031310,219.067547262903
Oahu,4508031311,170.8459525943
Oahu,4508031312,173.532416281629
Oahu,4508031313,202.687663276345
Oahu,4508031314,215.16714366345
Oahu,4508031315,233.072686154823
Oahu,4508031316,273.969931333988
Oahu,4508031317,338.67500319304
Oahu,4508031318,383.033883381338
Oahu,4508031319,369.764802405885
Oahu,4508031320,342.594594236576
Oahu,4508031321,304.640015762362
Oahu,4508031322,245.419883604967
Oahu,4508031323,177.108033007168
Oahu,4508091000,120.706661540968
Oahu,4508091001,78.2550013090633
Oahu,4508091002,49.7271724727608
Oahu,4508091003,31.4070496683208
Oahu,4508091004,22.8010063635324
Oahu,4508091005,33.6296350978955
Oahu,4508091006,83.5063050479024
Oahu,4508091007,198.548745964798
Oahu,4508091008,312.160804445663
Oahu,4508091009,290.911656450058
Oahu,4508091010,219.067547262903
Oahu,4508091011,170.8459525943
Oahu,4508091012,173.532416281629
Oahu,4508091013,202.687663276345
Oahu,4508091014,215.16714366345
Oahu,4508091015,233.072686154823
Oahu,4508091016,273.969931333988
Oahu,4508091017,338.67500319304
Oahu,4508091018,383.033883381338
Oahu,4508091019,369.764802405885
Oahu,4508091020,342.594594236576
Oahu,4508091021,304.640015762362
Oahu,4508091022,245.419883604967
Oahu,4508091023,177.108033007168
Oahu,4508100600,120.706661540968
Oahu,4508100601,78.2550013090633
Oahu,4508100602,49.7271724727608
Oahu,4508100603,31.4070496683208
Oahu,4508100604,22.8010063635324
Oahu,4508100605,33.6296350978955
Oahu,4508100606,83.5063050479024
Oahu,4508100607,198.548745964798
Oahu,4508100608,312.160804445663
Oahu,4508100609,290.911656450058
Oahu,4508100610,219.067547262903
Oahu,4508100611,170.8459525943
Oahu,4508100612,173.532416281629
Oahu,4508100613,202.687663276345
Oahu,4508100614,215.16714366345
Oahu,4508100615,233.072686154823
Oahu,4508100616,273.969931333988
Oahu,4508100617,338.67500319304
Oahu,4508100618,383.033883381338
Oahu,4508100619,369.764802405885
Oahu,4508100620,342.594594236576
Oahu,4508100621,304.640015762362
Oahu,4508100622,245.419883604967
Oahu,4508100623,177.108033007168
Oahu,4508112200,120.706661540968
Oahu,4508112201,78.2550013090633
Oahu,4508112202,49.7271724727608
Oahu,4508112203,31.4070496683208
Oahu,4508112204,22.8010063635324
Oahu,4508112205,33.6296350978955
Oahu,4508112206,83.5063050479024
Oahu,4508112207,198.548745964798
Oahu,4508112208,312.160804445663
Oahu,4508112209,290.911656450058
Oahu,4508112210,219.067547262903
Oahu,4508112211,170.8459525943
Oahu,4508112212,173.532416281629
Oahu,4508112213,202.687663276345
