GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Oahu_CentralTrackingPV_PV_01,4507011200,0.0
Oahu_CentralTrackingPV_PV_01,4507011201,0.0
Oahu_CentralTrackingPV_PV_01,4507011202,0.0
Oahu_CentralTrackingPV_PV_01,4507011203,0.0
Oahu_CentralTrackingPV_PV_01,4507011204,0.0
Oahu_CentralTrackingPV_PV_01,4507011205,0.0
Oahu_CentralTrackingPV_PV_01,4507011206,0.0
Oahu_CentralTrackingPV_PV_01,4507011207,0.0252224
Oahu_CentralTrackingPV_PV_01,4507011208,0.423815
Oahu_CentralTrackingPV_PV_01,4507011209,0.715193
Oahu_CentralTrackingPV_PV_01,4507011210,0.750456
Oahu_CentralTrackingPV_PV_01,4507011211,0.733103
Oahu_CentralTrackingPV_PV_01,4507011212,0.720739
Oahu_CentralTrackingPV_PV_01,4507011213,0.717091
Oahu_CentralTrackingPV_PV_01,4507011214,0.715298
Oahu_CentralTrackingPV_PV_01,4507011215,0.742108
Oahu_CentralTrackingPV_PV_01,4507011216,0.602146
Oahu_CentralTrackingPV_PV_01,4507011217,0.140501
Oahu_CentralTrackingPV_PV_01,4507011218,0.0
Oahu_CentralTrackingPV_PV_01,4507011219,0.0
Oahu_CentralTrackingPV_PV_01,4507011220,0.0
Oahu_CentralTrackingPV_PV_01,4507011221,0.0
Oahu_CentralTrackingPV_PV_01,4507011222,0.0
Oahu_CentralTrackingPV_PV_01,4507011223,0.0
Oahu_CentralTrackingPV_PV_01,4507011900,0.0
Oahu_CentralTrackingPV_PV_01,4507011901,0.0
Oahu_CentralTrackingPV_PV_01,4507011902,0.0
Oahu_CentralTrackingPV_PV_01,4507011903,0.0
Oahu_CentralTrackingPV_PV_01,4507011904,0.0
Oahu_CentralTrackingPV_PV_01,4507011905,0.0
Oahu_CentralTrackingPV_PV_01,4507011906,0.0
Oahu_CentralTrackingPV_PV_01,4507011907,0.0275615
Oahu_CentralTrackingPV_PV_01,4507011908,0.449133
Oahu_CentralTrackingPV_PV_01,4507011909,0.546438
Oahu_CentralTrackingPV_PV_01,4507011910,0.563896
Oahu_CentralTrackingPV_PV_01,4507011911,0.362842
Oahu_CentralTrackingPV_PV_01,4507011912,0.543228
Oahu_CentralTrackingPV_PV_01,4507011913,0.658742
Oahu_CentralTrackingPV_PV_01,4507011914,0.458173
Oahu_CentralTrackingPV_PV_01,4507011915,0.277049
Oahu_CentralTrackingPV_PV_01,4507011916,0.201568
Oahu_CentralTrackingPV_PV_01,4507011917,0.0379571
Oahu_CentralTrackingPV_PV_01,4507011918,0.0
Oahu_CentralTrackingPV_PV_01,4507011919,0.0
Oahu_CentralTrackingPV_PV_01,4507011920,0.0
Oahu_CentralTrackingPV_PV_01,4507011921,0.0
Oahu_CentralTrackingPV_PV_01,4507011922,0.0
Oahu_CentralTrackingPV_PV_01,4507011923,0.0
Oahu_CentralTrackingPV_PV_01,4507021200,0.0
Oahu_CentralTrackingPV_PV_01,4507021201,0.0
Oahu_CentralTrackingPV_PV_01,4507021202,0.0
Oahu_CentralTrackingPV_PV_01,4507021203,0.0
Oahu_CentralTrackingPV_PV_01,4507021204,0.0
Oahu_CentralTrackingPV_PV_01,4507021205,0.0
Oahu_CentralTrackingPV_PV_01,4507021206,0.0
Oahu_CentralTrackingPV_PV_01,4507021207,0.0692007
Oahu_CentralTrackingPV_PV_01,4507021208,0.557953
Oahu_CentralTrackingPV_PV_01,4507021209,0.823787
Oahu_CentralTrackingPV_PV_01,4507021210,0.850978
Oahu_CentralTrackingPV_PV_01,4507021211,0.841303
Oahu_CentralTrackingPV_PV_01,4507021212,0.828335
Oahu_CentralTrackingPV_PV_01,4507021213,0.784917
Oahu_CentralTrackingPV_PV_01,4507021214,0.841331
Oahu_CentralTrackingPV_PV_01,4507021215,0.817973
Oahu_CentralTrackingPV_PV_01,4507021216,0.692983
Oahu_CentralTrackingPV_PV_01,4507021217,0.10236
Oahu_CentralTrackingPV_PV_01,4507021218,0.0
Oahu_CentralTrackingPV_PV_01,4507021219,0.0
Oahu_CentralTrackingPV_PV_01,4507021220,0.0
Oahu_CentralTrackingPV_PV_01,4507021221,0.0
Oahu_CentralTrackingPV_PV_01,4507021222,0.0
Oahu_CentralTrackingPV_PV_01,4507021223,0.0
Oahu_CentralTrackingPV_PV_01,4507050200,0.0
Oahu_CentralTrackingPV_PV_01,4507050201,0.0
Oahu_CentralTrackingPV_PV_01,4507050202,0.0
Oahu_CentralTrackingPV_PV_01,4507050203,0.0
Oahu_CentralTrackingPV_PV_01,4507050204,0.0
Oahu_CentralTrackingPV_PV_01,4507050205,0.0
Oahu_CentralTrackingPV_PV_01,4507050206,0.0427599
Oahu_CentralTrackingPV_PV_01,4507050207,0.140932
Oahu_CentralTrackingPV_PV_01,4507050208,0.796639
Oahu_CentralTrackingPV_PV_01,4507050209,0.92878
Oahu_CentralTrackingPV_PV_01,4507050210,0.961574
