LOAD_ZONE	TIMEPOINT	ev_bau_mw
Oahu	2007011500	78.5475741414
Oahu	2007011501	50.9229601647
Oahu	2007011502	32.359015789
Oahu	2007011503	20.4375428074
Oahu	2007011504	14.8373231019
Oahu	2007011505	21.883848186
Oahu	2007011506	54.3401466273
Oahu	2007011507	129.201836463
Oahu	2007011508	203.132732015
Oahu	2007011509	189.305251358
Oahu	2007011510	142.554057837
Oahu	2007011511	111.174768292
Oahu	2007011512	112.922933663
Oahu	2007011513	131.895158523
Oahu	2007011514	140.015944058
Oahu	2007011515	151.667636752
Oahu	2007011516	178.280744569
Oahu	2007011517	220.386344743
Oahu	2007011518	249.252045989
Oahu	2007011519	240.617442824
Oahu	2007011520	222.936944388
Oahu	2007011521	198.238721203
Oahu	2007011522	159.70234167
Oahu	2007011523	115.249698534
Oahu	2007021500	78.5475741414
Oahu	2007021501	50.9229601647
Oahu	2007021502	32.359015789
Oahu	2007021503	20.4375428074
Oahu	2007021504	14.8373231019
Oahu	2007021505	21.883848186
Oahu	2007021506	54.3401466273
Oahu	2007021507	129.201836463
Oahu	2007021508	203.132732015
Oahu	2007021509	189.305251358
Oahu	2007021510	142.554057837
Oahu	2007021511	111.174768292
Oahu	2007021512	112.922933663
Oahu	2007021513	131.895158523
Oahu	2007021514	140.015944058
Oahu	2007021515	151.667636752
Oahu	2007021516	178.280744569
Oahu	2007021517	220.386344743
Oahu	2007021518	249.252045989
Oahu	2007021519	240.617442824
Oahu	2007021520	222.936944388
Oahu	2007021521	198.238721203
Oahu	2007021522	159.70234167
Oahu	2007021523	115.249698534
Oahu	2007031500	78.5475741414
Oahu	2007031501	50.9229601647
Oahu	2007031502	32.359015789
Oahu	2007031503	20.4375428074
Oahu	2007031504	14.8373231019
Oahu	2007031505	21.883848186
Oahu	2007031506	54.3401466273
Oahu	2007031507	129.201836463
Oahu	2007031508	203.132732015
Oahu	2007031509	189.305251358
Oahu	2007031510	142.554057837
Oahu	2007031511	111.174768292
