LOAD_ZONE	TIMEPOINT	lz_demand_mw
Oahu	2007121500	735.853357444
Oahu	2007121501	714.469317597
Oahu	2007121502	701.276720771
Oahu	2007121503	700.738786127
Oahu	2007121504	714.250964503
Oahu	2007121505	741.962302934
Oahu	2007121506	781.966137131
Oahu	2007121507	830.13479068
Oahu	2007121508	872.865584235
Oahu	2007121509	894.846104792
Oahu	2007121510	899.708809018
Oahu	2007121511	900.379894513
Oahu	2007121512	893.450686462
Oahu	2007121513	881.701456575
Oahu	2007121514	876.971935709
Oahu	2007121515	880.444520333
Oahu	2007121516	884.636106556
Oahu	2007121517	908.619253636
Oahu	2007121518	918.685471057
Oahu	2007121519	894.590465558
Oahu	2007121520	876.418039867
Oahu	2007121521	849.132777661
Oahu	2007121522	806.998497323
Oahu	2007121523	758.803220105
Oahu	2007111500	734.974548818
Oahu	2007111501	716.759505751
Oahu	2007111502	710.767717408
Oahu	2007111503	712.919455982
Oahu	2007111504	741.956971699
Oahu	2007111505	808.345999549
Oahu	2007111506	866.346491211
Oahu	2007111507	893.242963331
Oahu	2007111508	925.529411851
Oahu	2007111509	948.058497014
Oahu	2007111510	956.782543443
Oahu	2007111511	956.500313048
Oahu	2007111512	964.313563438
Oahu	2007111513	968.462564794
Oahu	2007111514	969.783410844
Oahu	2007111515	966.204331544
Oahu	2007111516	955.802571376
Oahu	2007111517	970.342670429
Oahu	2007111518	984.206287736
Oahu	2007111519	953.320621289
Oahu	2007111520	918.738718395
Oahu	2007111521	875.603141048
Oahu	2007111522	814.556140987
Oahu	2007111523	766.201089248
Oahu	2007101500	740.966337161
Oahu	2007101501	723.385093451
Oahu	2007101502	715.571810553
Oahu	2007101503	721.457071714
Oahu	2007101504	754.24413623
Oahu	2007101505	818.619907593
Oahu	2007101506	878.804092733
Oahu	2007101507	914.216920659
Oahu	2007101508	947.664375693
Oahu	2007101509	970.289358076
Oahu	2007101510	980.71777442
Oahu	2007101511	982.038620471
Oahu	2007101512	985.415307875
Oahu	2007101513	986.342032605
Oahu	2007101514	983.141080919
Oahu	2007101515	980.462135187
Oahu	2007101516	973.831183744
Oahu	2007101517	974.939040443
Oahu	2007101518	1003.56647364
Oahu	2007101519	978.523450979
Oahu	2007101520	941.283797263
Oahu	2007101521	883.160784713
Oahu	2007101522	826.289409676
Oahu	2007101523	772.507095398
Oahu	2007091500	774.74936745
Oahu	2007091501	752.539798822
Oahu	2007091502	739.794603161
Oahu	2007091503	735.906604782
Oahu	2007091504	746.436184567
Oahu	2007091505	773.780025346
Oahu	2007091506	811.578906139
Oahu	2007091507	874.282294998
Oahu	2007091508	915.298056167
Oahu	2007091509	941.901635421
Oahu	2007091510	954.337912003
Oahu	2007091511	953.235451554
Oahu	2007091512	952.50045625
Oahu	2007091513	949.320764491
Oahu	2007091514	935.222767876
Oahu	2007091515	932.533159673
Oahu	2007091516	928.277598627
Oahu	2007091517	927.292295324
Oahu	2007091518	950.481868528
Oahu	2007091519	939.638070936
Oahu	2007091520	917.668180343
Oahu	2007091521	886.750526484
Oahu	2007091522	841.415326968
Oahu	2007091523	793.246673419
Oahu	2007081500	756.869867132
Oahu	2007081501	738.196792936
Oahu	2007081502	730.063960996
Oahu	2007081503	731.683063655
Oahu	2007081504	761.290468919
Oahu	2007081505	825.927243259
Oahu	2007081506	887.474891825
Oahu	2007081507	913.726902118
Oahu	2007081508	944.873539034
Oahu	2007081509	961.607961529
Oahu	2007081510	975.434325204
Oahu	2007081511	976.195976685
Oahu	2007081512	975.631385865
Oahu	2007081513	974.038906875
Oahu	2007081514	977.287774663
Oahu	2007081515	973.011018706
Oahu	2007081516	970.055043783
Oahu	2007081517	964.010008102
Oahu	2007081518	958.215280419
Oahu	2007081519	972.084228961
Oahu	2007081520	942.146612184
Oahu	2007081521	892.811555871
Oahu	2007081522	832.622072003
Oahu	2007081523	781.65725056
Oahu	2007071500	753.391983779
