BATTERY_CAPITAL_COST_YEARS	battery_capital_cost_per_mwh_capacity_by_year
2016	484282.907662
2017	484282.907662
2018	484282.907662
2019	484282.907662
2020	484282.907662
2021	484282.907662
2022	484282.907662
2023	484282.907662
2024	484282.907662
2025	484282.907662
2026	484282.907662
2027	484282.907662
2028	484282.907662
2029	484282.907662
2030	484282.907662
2031	484282.907662
2032	484282.907662
2033	484282.907662
2034	484282.907662
2035	484282.907662
2036	484282.907662
2037	484282.907662
2038	484282.907662
2039	484282.907662
2040	484282.907662
2041	484282.907662
2042	484282.907662
2043	484282.907662
2044	484282.907662
2045	484282.907662
