LOAD_ZONE	TIMEPOINT	ev_bau_mw
Oahu	200700	6.24578809076
Oahu	200701	4.0491895723
Oahu	200702	2.57305916387
Oahu	200703	1.6251114419
Oahu	200704	1.17980442989
Oahu	200705	1.74011584539
Oahu	200706	4.32091053562
Oahu	200707	10.2736118881
Oahu	200708	16.1523002121
Oahu	200709	15.0527944036
Oahu	200710	11.3353269844
Oahu	200711	8.84017172247
Oahu	200712	8.97917882192
Oahu	200713	10.4877740572
Oahu	200714	11.1335063555
Oahu	200715	12.0600022309
Oahu	200716	14.1761698361
Oahu	200717	17.5242383028
Oahu	200718	19.8195231037
Oahu	200719	19.132934088
Oahu	200720	17.7270517577
Oahu	200721	15.7631480991
Oahu	200722	12.6988897438
Oahu	200723	9.16419383332
Oahu	300700	32.5188314725
Oahu	300701	21.082193534
Oahu	300702	13.3966884727
Oahu	300703	8.46117805079
Oahu	300704	6.14267741212
Oahu	300705	9.05995097761
Oahu	300706	22.4969146365
Oahu	300707	53.4897836349
Oahu	300708	84.0973021912
Oahu	300709	78.3727012969
Oahu	300710	59.0176263646
Oahu	300711	46.0265462507
Oahu	300712	46.7502897358
Oahu	300713	54.6048236237
Oahu	300714	57.9668428726
Oahu	300715	62.7906637891
Oahu	300716	73.8085364292
Oahu	300717	91.2403276853
Oahu	300718	103.190777899
Oahu	300719	99.6160372627
Oahu	300720	92.2962803474
Oahu	300721	82.0711732551
Oahu	300722	66.1170455141
Oahu	300723	47.7135744148
