LOAD_ZONE	TIMEPOINT	lz_demand_mw
Oahu	200700	629.14296109
Oahu	200701	582.708365597
Oahu	200702	560.391017399
Oahu	200703	550.053475173
Oahu	200704	565.115409244
Oahu	200705	593.855848685
Oahu	200706	650.785415783
Oahu	200707	748.468938642
Oahu	200708	838.19970319
Oahu	200709	893.869423309
Oahu	200710	916.198099831
Oahu	200711	929.2465444
Oahu	200712	927.233054897
Oahu	200713	926.760560788
Oahu	200714	929.527761469
Oahu	200715	942.632504377
Oahu	200716	959.460489883
Oahu	200717	967.177069796
Oahu	200718	970.495513606
Oahu	200719	1019.61842345
Oahu	200720	975.816118593
Oahu	200721	899.98870949
Oahu	200722	782.901208827
Oahu	200723	674.126432563
Oahu	300700	664.344851985
Oahu	300701	637.535918325
Oahu	300702	624.651035815
Oahu	300703	618.682673632
Oahu	300704	627.378655303
Oahu	300705	643.971898469
Oahu	300706	676.840085894
Oahu	300707	733.237499422
Oahu	300708	785.043401649
Oahu	300709	817.184218592
Oahu	300710	830.07564149
Oahu	300711	837.609138468
Oahu	300712	836.446653775
Oahu	300713	836.173860115
Oahu	300714	837.771498658
Oahu	300715	845.337499385
Oahu	300716	855.053107808
Oahu	300717	859.508261918
Oahu	300718	861.424159731
Oahu	300719	889.785187047
Oahu	300720	864.496001848
Oahu	300721	820.71717792
Oahu	300722	753.116911256
Oahu	300723	690.315981694
