PROJECT	timepoint	proj_max_capacity_factor
Oahu_CentralTrackingPV_PV_01_na	200700	0.0
Oahu_CentralTrackingPV_PV_01_na	200701	0.0
Oahu_CentralTrackingPV_PV_01_na	200702	0.0
Oahu_CentralTrackingPV_PV_01_na	200703	0.0
Oahu_CentralTrackingPV_PV_01_na	200704	0.0
Oahu_CentralTrackingPV_PV_01_na	200705	0.0
Oahu_CentralTrackingPV_PV_01_na	200706	0.0990859344602
Oahu_CentralTrackingPV_PV_01_na	200707	0.614179670811
Oahu_CentralTrackingPV_PV_01_na	200708	0.860059857368
Oahu_CentralTrackingPV_PV_01_na	200709	0.880291581154
Oahu_CentralTrackingPV_PV_01_na	200710	0.490441501141
Oahu_CentralTrackingPV_PV_01_na	200711	0.381801664829
Oahu_CentralTrackingPV_PV_01_na	200712	0.5809699893
Oahu_CentralTrackingPV_PV_01_na	200713	0.462629586458
Oahu_CentralTrackingPV_PV_01_na	200714	0.860410392284
Oahu_CentralTrackingPV_PV_01_na	200715	0.984054028988
Oahu_CentralTrackingPV_PV_01_na	200716	0.927172541618
Oahu_CentralTrackingPV_PV_01_na	200717	0.770471870899
Oahu_CentralTrackingPV_PV_01_na	200718	0.239762321115
Oahu_CentralTrackingPV_PV_01_na	200719	0.0
Oahu_CentralTrackingPV_PV_01_na	200720	0.0
Oahu_CentralTrackingPV_PV_01_na	200721	0.0
Oahu_CentralTrackingPV_PV_01_na	200722	0.0
Oahu_CentralTrackingPV_PV_01_na	200723	0.0
Oahu_CentralTrackingPV_PV_01_na	300700	0.0
Oahu_CentralTrackingPV_PV_01_na	300701	0.0
Oahu_CentralTrackingPV_PV_01_na	300702	0.0
Oahu_CentralTrackingPV_PV_01_na	300703	0.0
Oahu_CentralTrackingPV_PV_01_na	300704	0.0
Oahu_CentralTrackingPV_PV_01_na	300705	0.0
Oahu_CentralTrackingPV_PV_01_na	300706	0.0990859344602
Oahu_CentralTrackingPV_PV_01_na	300707	0.614179670811
Oahu_CentralTrackingPV_PV_01_na	300708	0.860059857368
Oahu_CentralTrackingPV_PV_01_na	300709	0.880291581154
Oahu_CentralTrackingPV_PV_01_na	300710	0.490441501141
Oahu_CentralTrackingPV_PV_01_na	300711	0.381801664829
Oahu_CentralTrackingPV_PV_01_na	300712	0.5809699893
Oahu_CentralTrackingPV_PV_01_na	300713	0.462629586458
Oahu_CentralTrackingPV_PV_01_na	300714	0.860410392284
Oahu_CentralTrackingPV_PV_01_na	300715	0.984054028988
Oahu_CentralTrackingPV_PV_01_na	300716	0.927172541618
Oahu_CentralTrackingPV_PV_01_na	300717	0.770471870899
Oahu_CentralTrackingPV_PV_01_na	300718	0.239762321115
Oahu_CentralTrackingPV_PV_01_na	300719	0.0
Oahu_CentralTrackingPV_PV_01_na	300720	0.0
Oahu_CentralTrackingPV_PV_01_na	300721	0.0
Oahu_CentralTrackingPV_PV_01_na	300722	0.0
Oahu_CentralTrackingPV_PV_01_na	300723	0.0
Oahu_CentralTrackingPV_PV_02_na	200700	0.0
Oahu_CentralTrackingPV_PV_02_na	200701	0.0
Oahu_CentralTrackingPV_PV_02_na	200702	0.0
Oahu_CentralTrackingPV_PV_02_na	200703	0.0
Oahu_CentralTrackingPV_PV_02_na	200704	0.0
Oahu_CentralTrackingPV_PV_02_na	200705	0.0
Oahu_CentralTrackingPV_PV_02_na	200706	0.0980966761708
Oahu_CentralTrackingPV_PV_02_na	200707	0.644536077976
Oahu_CentralTrackingPV_PV_02_na	200708	0.981263458729
Oahu_CentralTrackingPV_PV_02_na	200709	1.0
Oahu_CentralTrackingPV_PV_02_na	200710	0.768373250961
Oahu_CentralTrackingPV_PV_02_na	200711	0.625563085079
Oahu_CentralTrackingPV_PV_02_na	200712	0.679740130901
Oahu_CentralTrackingPV_PV_02_na	200713	0.539951920509
Oahu_CentralTrackingPV_PV_02_na	200714	0.87464004755
Oahu_CentralTrackingPV_PV_02_na	200715	1.0
Oahu_CentralTrackingPV_PV_02_na	200716	1.0
Oahu_CentralTrackingPV_PV_02_na	200717	0.799625217915
Oahu_CentralTrackingPV_PV_02_na	200718	0.23024392128
Oahu_CentralTrackingPV_PV_02_na	200719	0.0
Oahu_CentralTrackingPV_PV_02_na	200720	0.0
Oahu_CentralTrackingPV_PV_02_na	200721	0.0
Oahu_CentralTrackingPV_PV_02_na	200722	0.0
Oahu_CentralTrackingPV_PV_02_na	200723	0.0
Oahu_CentralTrackingPV_PV_02_na	300700	0.0
Oahu_CentralTrackingPV_PV_02_na	300701	0.0
Oahu_CentralTrackingPV_PV_02_na	300702	0.0
Oahu_CentralTrackingPV_PV_02_na	300703	0.0
Oahu_CentralTrackingPV_PV_02_na	300704	0.0
Oahu_CentralTrackingPV_PV_02_na	300705	0.0
Oahu_CentralTrackingPV_PV_02_na	300706	0.0980966761708
Oahu_CentralTrackingPV_PV_02_na	300707	0.644536077976
Oahu_CentralTrackingPV_PV_02_na	300708	0.981263458729
Oahu_CentralTrackingPV_PV_02_na	300709	1.0
Oahu_CentralTrackingPV_PV_02_na	300710	0.768373250961
Oahu_CentralTrackingPV_PV_02_na	300711	0.625563085079
Oahu_CentralTrackingPV_PV_02_na	300712	0.679740130901
Oahu_CentralTrackingPV_PV_02_na	300713	0.539951920509
Oahu_CentralTrackingPV_PV_02_na	300714	0.87464004755
Oahu_CentralTrackingPV_PV_02_na	300715	1.0
Oahu_CentralTrackingPV_PV_02_na	300716	1.0
Oahu_CentralTrackingPV_PV_02_na	300717	0.799625217915
Oahu_CentralTrackingPV_PV_02_na	300718	0.23024392128
Oahu_CentralTrackingPV_PV_02_na	300719	0.0
Oahu_CentralTrackingPV_PV_02_na	300720	0.0
Oahu_CentralTrackingPV_PV_02_na	300721	0.0
Oahu_CentralTrackingPV_PV_02_na	300722	0.0
Oahu_CentralTrackingPV_PV_02_na	300723	0.0
Oahu_CentralTrackingPV_PV_03_na	200700	0.0
Oahu_CentralTrackingPV_PV_03_na	200701	0.0
Oahu_CentralTrackingPV_PV_03_na	200702	0.0
Oahu_CentralTrackingPV_PV_03_na	200703	0.0
Oahu_CentralTrackingPV_PV_03_na	200704	0.0
Oahu_CentralTrackingPV_PV_03_na	200705	0.0
Oahu_CentralTrackingPV_PV_03_na	200706	0.0996834486723
Oahu_CentralTrackingPV_PV_03_na	200707	0.648786008358
Oahu_CentralTrackingPV_PV_03_na	200708	0.985822677612
Oahu_CentralTrackingPV_PV_03_na	200709	0.908087730408
Oahu_CentralTrackingPV_PV_03_na	200710	0.811600863934
Oahu_CentralTrackingPV_PV_03_na	200711	0.580370187759
Oahu_CentralTrackingPV_PV_03_na	200712	0.728513360023
Oahu_CentralTrackingPV_PV_03_na	200713	0.537486374378
Oahu_CentralTrackingPV_PV_03_na	200714	0.613960683346
Oahu_CentralTrackingPV_PV_03_na	200715	1.0
Oahu_CentralTrackingPV_PV_03_na	200716	0.757533431053
Oahu_CentralTrackingPV_PV_03_na	200717	0.80412876606
Oahu_CentralTrackingPV_PV_03_na	200718	0.227331921458
Oahu_CentralTrackingPV_PV_03_na	200719	0.0
Oahu_CentralTrackingPV_PV_03_na	200720	0.0
Oahu_CentralTrackingPV_PV_03_na	200721	0.0
Oahu_CentralTrackingPV_PV_03_na	200722	0.0
Oahu_CentralTrackingPV_PV_03_na	200723	0.0
Oahu_CentralTrackingPV_PV_03_na	300700	0.0
Oahu_CentralTrackingPV_PV_03_na	300701	0.0
Oahu_CentralTrackingPV_PV_03_na	300702	0.0
Oahu_CentralTrackingPV_PV_03_na	300703	0.0
Oahu_CentralTrackingPV_PV_03_na	300704	0.0
Oahu_CentralTrackingPV_PV_03_na	300705	0.0
Oahu_CentralTrackingPV_PV_03_na	300706	0.0996834486723
Oahu_CentralTrackingPV_PV_03_na	300707	0.648786008358
Oahu_CentralTrackingPV_PV_03_na	300708	0.985822677612
Oahu_CentralTrackingPV_PV_03_na	300709	0.908087730408
Oahu_CentralTrackingPV_PV_03_na	300710	0.811600863934
Oahu_CentralTrackingPV_PV_03_na	300711	0.580370187759
Oahu_CentralTrackingPV_PV_03_na	300712	0.728513360023
Oahu_CentralTrackingPV_PV_03_na	300713	0.537486374378
Oahu_CentralTrackingPV_PV_03_na	300714	0.613960683346
Oahu_CentralTrackingPV_PV_03_na	300715	1.0
Oahu_CentralTrackingPV_PV_03_na	300716	0.757533431053
Oahu_CentralTrackingPV_PV_03_na	300717	0.80412876606
Oahu_CentralTrackingPV_PV_03_na	300718	0.227331921458
Oahu_CentralTrackingPV_PV_03_na	300719	0.0
Oahu_CentralTrackingPV_PV_03_na	300720	0.0
Oahu_CentralTrackingPV_PV_03_na	300721	0.0
Oahu_CentralTrackingPV_PV_03_na	300722	0.0
Oahu_CentralTrackingPV_PV_03_na	300723	0.0
Oahu_CentralTrackingPV_PV_04_na	200700	0.0
Oahu_CentralTrackingPV_PV_04_na	200701	0.0
Oahu_CentralTrackingPV_PV_04_na	200702	0.0
Oahu_CentralTrackingPV_PV_04_na	200703	0.0
Oahu_CentralTrackingPV_PV_04_na	200704	0.0
Oahu_CentralTrackingPV_PV_04_na	200705	0.0
Oahu_CentralTrackingPV_PV_04_na	200706	0.106319315732
Oahu_CentralTrackingPV_PV_04_na	200707	0.646293699741
Oahu_CentralTrackingPV_PV_04_na	200708	0.982037603855
Oahu_CentralTrackingPV_PV_04_na	200709	0.894423484802
Oahu_CentralTrackingPV_PV_04_na	200710	0.41086268425
Oahu_CentralTrackingPV_PV_04_na	200711	0.62099391222
Oahu_CentralTrackingPV_PV_04_na	200712	0.480843484402
Oahu_CentralTrackingPV_PV_04_na	200713	0.677834749222
Oahu_CentralTrackingPV_PV_04_na	200714	1.0
Oahu_CentralTrackingPV_PV_04_na	200715	1.0
Oahu_CentralTrackingPV_PV_04_na	200716	1.0
Oahu_CentralTrackingPV_PV_04_na	200717	0.795691609383
Oahu_CentralTrackingPV_PV_04_na	200718	0.159724578261
Oahu_CentralTrackingPV_PV_04_na	200719	0.0
Oahu_CentralTrackingPV_PV_04_na	200720	0.0
Oahu_CentralTrackingPV_PV_04_na	200721	0.0
Oahu_CentralTrackingPV_PV_04_na	200722	0.0
Oahu_CentralTrackingPV_PV_04_na	200723	0.0
Oahu_CentralTrackingPV_PV_04_na	300700	0.0
Oahu_CentralTrackingPV_PV_04_na	300701	0.0
Oahu_CentralTrackingPV_PV_04_na	300702	0.0
Oahu_CentralTrackingPV_PV_04_na	300703	0.0
Oahu_CentralTrackingPV_PV_04_na	300704	0.0
Oahu_CentralTrackingPV_PV_04_na	300705	0.0
Oahu_CentralTrackingPV_PV_04_na	300706	0.106319315732
Oahu_CentralTrackingPV_PV_04_na	300707	0.646293699741
Oahu_CentralTrackingPV_PV_04_na	300708	0.982037603855
Oahu_CentralTrackingPV_PV_04_na	300709	0.894423484802
Oahu_CentralTrackingPV_PV_04_na	300710	0.41086268425
Oahu_CentralTrackingPV_PV_04_na	300711	0.62099391222
Oahu_CentralTrackingPV_PV_04_na	300712	0.480843484402
Oahu_CentralTrackingPV_PV_04_na	300713	0.677834749222
Oahu_CentralTrackingPV_PV_04_na	300714	1.0
Oahu_CentralTrackingPV_PV_04_na	300715	1.0
Oahu_CentralTrackingPV_PV_04_na	300716	1.0
Oahu_CentralTrackingPV_PV_04_na	300717	0.795691609383
Oahu_CentralTrackingPV_PV_04_na	300718	0.159724578261
Oahu_CentralTrackingPV_PV_04_na	300719	0.0
